主要建材_cat,主要用途_cat,交易年月日_date,備註,全移轉_bin,單價每平方公尺,土地_num,土地移轉總面積平方公尺,建物_num,建物型態_cat,建物現況格局-廳,建物現況格局-房,建物現況格局-衛,建物現況格局-隔間_bin,建物移轉總面積平方公尺,建築完成年月_date,有無管理組織_bin,移轉層次_num,總價元,總樓層數_num,車位_num,車位移轉總面積平方公尺,車位總價元,車位類別_cat,都市土地使用分區_cat,鄉鎮市區_cat
12,2,2015-10-02,含增建或未登記建物。,0,252827.0,2,29.4,1,9,4,5,3,1,108.77,1978-01-30,0,5,27500000,5,0,0.0,0,0,1,11
12,5,2015-10-09,,0,156285.0,1,18.35,1,1,2,4,2,1,186.72,1981-03-31,1,7,29180000,14,1,41.98,0,1,2,11
12,9,2015-09-30,含增建或未登記建物。,0,323905.0,2,4.21,1,5,1,1,1,1,36.06,2006-08-02,1,5,11680000,13,0,0.0,0,0,3,3
12,9,2015-09-10,含增建或未登記建物,0,234129.0,1,8.09,1,10,2,3,2,1,85.85,2006-11-10,1,7,20100000,13,1,14.18,0,3,3,11
12,2,2015-09-15,親友、員工或其他特殊關係間之交易。,0,85215.0,2,6.89,1,1,1,2,1,1,70.41,1977-04-02,1,5,6000000,12,0,0.0,0,0,3,3
1,0,2015-11-03,,1,1447.0,0,0.0,2,12,1,3,2,1,156.9,,0,,227000,2,0,0.0,0,0,0,11
12,2,2015-09-30,親友、員工或其他特殊關係間之交易。,0,161031.0,1,4.53,1,9,0,1,1,1,43.47,1982-04-19,0,8,7000000,10,0,0.0,0,0,3,1
14,2,2015-08-18,,0,242710.0,1,44.3,1,1,2,4,2,1,296.65,2012-12-26,1,5,72000000,18,1,38.64,0,1,1,4
12,2,2015-07-08,,0,215441.0,1,39.56,1,9,2,4,2,1,163.85,1995-12-04,0,6,35300000,7,1,0.0,0,2,1,1
12,5,2015-09-03,,0,163523.0,1,13.16,1,1,2,3,2,1,131.48000000000002,1986-11-06,1,6,21500000,12,0,0.0,0,0,3,4
12,2,2015-08-20,含增建或未登記建物。,0,216169.0,1,124.5,1,9,2,4,3,1,300.69,2007-02-08,1,"1,-1",65000000,5,1,14.97,0,1,1,4
12,5,2015-10-20,,0,253582.0,3,6.46,1,1,1,2,1,1,46.06,2006-02-09,1,10,11680000,12,0,0.0,0,0,1,1
12,5,2015-09-15,親友、員工或其他特殊關係間之交易。,0,98445.0,1,6.12,1,3,0,1,1,1,50.79,1995-03-14,0,4,5000000,5,0,0.0,0,0,3,12
12,2,2015-09-16,,0,292693.0,1,63.5,1,9,2,4,3,1,286.99,2008-01-10,1,4,84000000,7,1,37.3,0,4,1,9
12,2,2015-10-20,親友、員工或其他特殊關係間之交易。,0,74006.0,1,11.66,1,9,2,3,2,1,54.05,1981-03-26,0,5,4000000,6,0,0.0,0,0,1,2
12,2,2015-10-09,,0,143211.0,1,17.48,1,1,2,2,1,1,76.81,1995-04-11,1,14,11000000,15,0,0.0,0,0,1,10
12,2,2015-09-10,,1,186622.0,2,211.0,1,12,2,5,3,1,171.47,1983-05-17,0,,32000000,2,0,0.0,0,0,1,10
12,2,2015-09-21,,0,293957.0,1,49.92,1,1,2,4,2,1,256.84000000000003,2004-12-27,1,11,75500000,12,2,40.86,0,3,1,2
1,2,2015-09-24,,0,205133.0,1,38.75,1,3,1,3,1,1,104.81,1970-06-30,0,3,21500000,4,0,0.0,0,0,1,9
12,2,2015-10-16,,0,301838.0,1,20.82,1,9,2,3,2,1,109.33,,1,7,33000000,7,0,0.0,0,0,1,9
12,5,2015-09-16,親友、員工或其他特殊關係間之交易。,0,850829.0,5,12.82,2,1,0,0,2,0,94.12,1990-04-20,0,1,80080000,14,1,14.86,0,1,1,9
12,9,2015-10-14,合建分售,0,221311.0,0,0.0,1,9,0,0,1,0,73.82,2013-12-31,1,1,16337200,9,1,15.32,0,4,0,9
12,2,2015-06-29,,0,73662.0,1,23.94,1,9,1,1,1,1,116.07,1981-10-21,0,3,8550000,7,0,0.0,0,0,1,5
12,2,2015-10-13,,0,285478.0,2,11.22,1,9,0,0,0,0,48.34,2015-05-20,1,3,13800000,8,0,0.0,0,0,1,7
12,2,2015-10-16,,0,299187.0,2,31.36,1,9,0,0,0,0,153.51,2015-05-20,1,6,36000000,8,1,41.54,2500000,2,1,7
12,2,2015-09-01,,0,182837.0,1,49.54,1,9,2,3,1,1,128.53,2007-07-31,1,4,23500000,7,1,0.0,0,1,1,5
10,9,2015-10-19,,0,397256.0,1,81.75,1,1,0,0,0,0,616.5699999999998,2015-05-18,1,5,203800000,12,4,141.31,15000000,1,3,7
12,2,2015-08-29,價格含增建,0,155279.0,1,47.9,1,3,2,4,2,1,197.58,1979-09-25,0,1,30680000,5,0,0.0,0,0,3,7
12,9,2015-09-09,價格含增建,0,136820.0,1,16.78,1,1,2,2,1,1,115.48,2007-11-08,1,2,15800000,15,1,28.65,0,1,4,7
12,2,2015-10-14,,0,145808.0,1,31.3,1,3,2,3,2,1,123.45,1983-12-09,0,5,18000000,5,0,0.0,0,0,1,7
12,5,2015-10-06,價格含增建,0,100503.0,1,34.47,1,3,2,3,2,1,123.18,1984-06-18,0,1,12380000,5,0,0.0,0,0,1,5
12,2,2014-12-18,5層樓房有電梯,0,104888.0,1,75.06,1,9,2,3,2,1,190.68,2014-10-02,0,5,20000000,5,1,0.0,0,6,1,5
12,2,2015-10-20,,0,145969.0,2,8.9,1,5,1,1,1,1,44.53,2005-11-11,1,7,6500000,13,0,0.0,0,0,1,5
8,2,2015-09-18,含增建或未登記建物。建物型態:一樓供店面使用。,1,351370.0,1,133.0,1,12,3,0,3,1,341.52,1960-10-08,0,,120000000,0,0,0.0,0,0,1,7
12,9,2015-10-14,,0,287544.0,1,9.8,1,5,0,1,1,1,50.78,2015-07-23,0,3,14601500,5,0,0.0,0,0,1,3
12,9,2015-10-14,,0,265919.0,1,9.8,1,5,0,1,1,1,50.78,2015-07-23,0,4,13503366,5,0,0.0,0,0,1,3
12,9,2015-10-14,,0,294355.0,1,9.8,1,5,0,1,1,1,32.7,2015-07-23,0,5,9625404,5,0,0.0,0,0,1,3
